Id,Sq. Ft,Lot,Beds,Baths,Year,Price,Estimated price,Mean Square Average,,,
1,2462,19378,4,2.5,2005,320000,46009.5,15014158818,1.21E+11,-54798.1,-469144.6
2,1221,7500,2,2,2004,185000,21718,5332202305,,-32656.4,
3,1961,12209,3,2.5,2001,215000,33825.5,6564839890,,-36234.9,
4,1752,7658,2,2,2005,319900,27187,17136180074,,-58542.6,
5,1216,4500,2,2,1998,164000,18662,4224626849,,-29067.6,
6,1541,13704,3,2,2001,205000,31120,6046850880,,-34776,
7,2466,11143,4,3,2004,340000,37814,18263275719,,-60437.2,
8,2353,13005,4,2.5,1980,260000,38521.5,9810545192,,-44295.7,
9,1761,10207,3,3,2007,227875,29830,7844364405,,-39609,
10,2945,13682,3,3.5,2006,438780,45144.5,30989781372,,-78727.1,
